,rssi_D1_1F_AP01,rssi_D1_1F_AP02,rssi_D1_1F_AP03,rssi_D1_1F_AP04,rssi_D1_1F_AP05,rssi_D1_1F_AP06,rssi_D1_1F_AP07,rssi_D1_1F_AP08,xr,yr,cur_eirp,floor
165,-100.0,-100.0,-100.0,-100.0,-42.0,-85.0,-100.0,-91.0,457.0153478,1271.80861,9.0,1
166,-82.0,-86.0,-90.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
167,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
168,-80.0,-86.0,-89.0,-100.0,-39.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
169,-82.0,-86.0,-89.0,-100.0,-41.0,-85.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
170,-81.0,-86.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
171,-85.0,-86.0,-90.0,-100.0,-41.0,-83.0,-100.0,-89.0,457.0153478,1271.80861,9.0,1
172,-84.0,-86.0,-90.0,-100.0,-42.0,-83.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
173,-83.0,-86.0,-90.0,-100.0,-42.0,-83.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
174,-83.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
175,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
176,-84.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
177,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
178,-80.0,-86.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
179,-100.0,-100.0,-100.0,-100.0,-41.0,-79.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
